Question,Answer
What are the facilities at Changi Airport?,There are payable shower facilities located around the airport.
Where is the Ground Transport Concierge located?,Changi Airport
What shopping options are available at Changi Airport?,I don't know.
What are the dining options at Jewel Changi?,I don't know.
How can I get from Changi Airport to the city?,AIRPORT TRANSFER
Are there any attractions at Jewel Changi?,Yes
Where can I find shower facilities in the airport?,in the transit areas
What services are available for families?,Baby Care
Are there hotel facilities inside the airport?,Yes
Which terminal handles international departures?,Terminal 1
What are the public transport options from Changi?,You can pre-book one (1) tour itinerary up to fifty (50) days prior to your intended tour date.
Where are the transport service counters in Changi?,I don't know.
